Configuration,Best Result,Average Best,Worst Result,Average Mean,Runs
ackley_b16413e3,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.20930595195340418,10
ackley_b3051412,0.04353407741264889,0.056419546760078466,0.11948297787989381,0.05008142249798403,10
ackley_b4a68d7a,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.18125065606591634,10
ackley_b4ce6336,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2529818503891586,10
ackley_b5029322,0.043298840946166386,0.05086574420000869,0.09460002596402091,0.05086574420000868,10
ackley_b93e8c7e,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2625337363044189,10
ackley_b9f8ab6a,0.20633388401034994,0.25915360321914666,0.26502246090901294,0.24565110970638168,10
ackley_bc2f1855,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2614925935614095,10
ackley_bd35b03d,0.044176603234346995,0.05630869683448142,0.11008448706493833,0.05630869683448142,10
ackley_c16161ec,0.04500346038921677,0.049493811191980784,0.05858710532707242,0.046318230920494696,10
ackley_c2050209,0.04560732048005533,0.052714794625907266,0.06413983764648475,0.046965081762540724,10
ackley_c2e65b97,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2216581879664697,10
ackley_c2f50ad0,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25970835347162174,10
ackley_c5898119,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2514364319705843,10
ackley_c6923839,0.04372532905298941,0.049596582085807875,0.06818479113148189,0.049596582085807875,10
ackley_cab411ce,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2144247766702101,10
ackley_cae5f0b2,0.20633388401034994,0.25915360321914666,0.26502246090901294,0.2568723634343855,10
ackley_cb65ad95,0.04322408188470177,0.04732305924217114,0.06277364544679956,0.04732305924217114,10
ackley_cb89f503,0.04378391156353368,0.045264741973558946,0.04789259241669026,0.045264741973558946,10
ackley_cfef0fa0,0.043292006830813655,0.04610396054170472,0.049411338074819525,0.046103960541704715,10
ackley_d053cfd2,0.04396334798177997,0.05120457479968051,0.07502015452594506,0.04945054995641716,10
ackley_d7b70b87,0.20633388401034994,0.24154703014954776,0.26502246090901294,0.23625206255901463,10
ackley_d7eda4db,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.19466469277273168,10
ackley_dd412b35,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.19555856660766396,10
ackley_df6eda6f,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2034847441416841,10
ackley_e19c9120,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2554715759317334,10
ackley_e1d92a7d,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25968135666610026,10
ackley_e88bf5a9,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.25646164332086235,10
ackley_e966e0c6,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.22851723346638045,10
ackley_ec5ed9ed,0.045477180932381484,0.051776262134435605,0.08155391477023334,0.0487668794750012,10
ackley_ed6ceeb2,0.04377606255894709,0.04641691823830019,0.049035449303539674,0.046416918238300194,10
ackley_eeae5fb9,0.04859974049888617,0.08812232380988513,0.20633388401034994,0.049921219140754376,10
ackley_ef853c00,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.26140074897253784,10
ackley_f1058a04,0.043357442624233127,0.04557086632619349,0.04777040738283199,0.0455708663261935,10
ackley_f5835172,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2561745004596828,10
ackley_f7706eb0,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.21079281478482054,10
ackley_fa510faf,0.04819623155762154,0.06586991325408507,0.1030864243582192,0.047114363801010695,10
ackley_fb01f169,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.20464921271159642,10
ackley_fb25f454,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.24842019399189885,10
ackley_fd4d422a,0.04327994437131784,0.05519902758544114,0.14069216641370022,0.05519902758544114,10
ackley_ff136c6b,0.26502246090901294,0.26502246090901294,0.26502246090901294,0.2602407081321759,10
